Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Cmp,Att_passing,Cmp%,TotDist,PrgDist,KP,1/3,PPA,CrsPA,PrgP,PrgP_passing,Ast,xAG,xA,A-xAG,Live,Dead,FK,TB,Sw,Crs,TI,CK,Touches,Mid 3rd_possession,Att 3rd_possession,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession,PrgDist_possession,PrgC,PrgC_possession,CPA,Rec,PrgR,Tkl,TklW,Mid 3rd,Int,Tkl+Int,Recov,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,xG,npxG,G-xG,np:G-xG,Won,Lost_misc,Won%,Fls,Fld,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,Rk_per_90,CrdY_per_90,CrdR_per_90,Cmp_per_90,Att_passing_per_90,Cmp%_per_90,TotDist_per_90,PrgDist_per_90,KP_per_90,1/3_per_90,PPA_per_90,CrsPA_per_90,PrgP_per_90,PrgP_passing_per_90,Ast_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Live_per_90,Dead_per_90,FK_per_90,TB_per_90,Sw_per_90,Crs_per_90,TI_per_90,CK_per_90,Touches_per_90,Mid 3rd_possession_per_90,Att 3rd_possession_per_90,Att_possession_per_90,Succ_per_90,Succ%_per_90,Tkld_per_90,Tkld%_per_90,Carries_per_90,TotDist_possession_per_90,PrgDist_possession_per_90,PrgC_per_90,PrgC_possession_per_90,CPA_per_90,Rec_per_90,PrgR_per_90,Tkl_per_90,TklW_per_90,Mid 3rd_per_90,Int_per_90,Tkl+Int_per_90,Recov_per_90,Gls_per_90,Sh_shooting_per_90,SoT_per_90,SoT%_per_90,Sh/90_per_90,SoT/90_per_90,xG_per_90,npxG_per_90,G-xG_per_90,np:G-xG_per_90,Won_per_90,Lost_misc_per_90,Won%_per_90,Fls_per_90,Fld_per_90,Min%_per_90,Compl_per_90,Subs_per_90,PPM_per_90,onG_per_90,onGA_per_90,+/-_per_90,+/-90_per_90,onxG_per_90,onxGA_per_90,xG+/-_per_90,xG+/-90_per_90
2186,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,MF,14,5,527,5.9,1,0,118,151,78.1,1856,224,1,7,2,0,8,8,0,0.4,0.5,-0.4,141.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,228,102,65,10,3,30.0,6,60.0,117,514,168,8,8,4,142,17,17,14,5,1,18,24.0,0,6.0,2.0,33.3,1.02,0.34,0.3,0.3,-0.3,-0.3,4.0,5.0,44.4,7.0,3.0,15.4,0.0,9.0,0.36,4.0,17.0,-13.0,-2.22,5.4,11.5,-6.1,-1.04,373.3206831119545,0.17077798861480076,0.0,20.15180265654649,25.787476280834913,13.33776091081594,316.96394686907024,38.25426944971537,0.17077798861480076,1.1954459203036054,0.3415559772296015,0.0,1.366223908918406,1.366223908918406,0.0,0.0683111954459203,0.08538899430740038,-0.0683111954459203,24.07969639468691,1.537001897533207,0.17077798861480076,0.17077798861480076,0.0,0.3415559772296015,0.3415559772296015,0.0,38.93738140417457,17.419354838709676,11.100569259962048,1.7077798861480076,0.5123339658444023,5.1233396584440225,1.0246679316888045,10.246679316888045,19.98102466793169,87.77988614800759,28.690702087286528,1.366223908918406,1.366223908918406,0.683111954459203,24.25047438330171,2.903225806451613,2.903225806451613,2.390891840607211,0.8538899430740038,0.17077798861480076,3.074003795066414,4.098671726755218,0.0,1.0246679316888045,0.3415559772296015,5.686907020872865,0.17419354838709677,0.05806451612903226,0.051233396584440226,0.051233396584440226,-0.051233396584440226,-0.051233396584440226,0.683111954459203,0.8538899430740038,7.582542694497153,1.1954459203036054,0.5123339658444023,2.629981024667932,0.0,1.537001897533207,0.06148007590132827,0.683111954459203,2.903225806451613,-2.22011385199241,-0.37912713472485776,0.9222011385199242,1.9639468690702087,-1.0417457305502846,-0.1776091081593928
1102,Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25.0,1998.0,MF,18,13,1019,11.3,2,0,303,383,79.1,4174,1016,16,29,12,4,38,38,3,1.2,1.4,1.8,361.0,18.0,4.0,4.0,2.0,12.0,6.0,2.0,564,276,220,44,19,43.2,21,47.7,308,2227,1221,43,43,8,378,56,23,11,11,5,28,53.0,3,32.0,11.0,34.4,2.83,0.97,3.1,2.3,-0.1,-0.3,12.0,8.0,60.0,18.0,16.0,29.8,0.0,5.0,0.67,15.0,29.0,-14.0,-1.24,13.8,18.4,-4.5,-0.4,97.33071638861628,0.17664376840039253,0.0,26.761530912659474,33.827281648675175,6.986261040235524,368.65554465161927,89.7350343473994,1.4131501472031402,2.5613346418056917,1.0598626104023552,0.35328753680078506,3.3562315996074585,3.3562315996074585,0.2649656526005888,0.10598626104023554,0.12365063788027478,0.1589793915603533,31.88420019627085,1.589793915603533,0.35328753680078506,0.35328753680078506,0.17664376840039253,1.0598626104023552,0.5299313052011776,0.17664376840039253,49.813542688910694,24.376840039254173,19.43081452404318,3.886162904808636,1.6781157998037293,3.8155053974484794,1.8547595682041218,4.212953876349363,27.203140333660453,196.69283611383707,107.84102060843965,3.7978410206084394,3.7978410206084394,0.7065750736015701,33.38567222767419,4.946025515210991,2.031403336604514,0.971540726202159,0.971540726202159,0.4416094210009814,2.4730127576054954,4.681059862610403,0.2649656526005888,2.8263002944062805,0.971540726202159,3.038272816486751,0.24995093228655546,0.08567222767419039,0.27379784102060845,0.20314033366045142,-0.008832188420019628,-0.026496565260058884,1.0598626104023552,0.7065750736015701,5.299313052011777,1.589793915603533,1.4131501472031402,2.631992149165849,0.0,0.4416094210009814,0.059175662414131504,1.3248282630029442,2.5613346418056917,-1.2365063788027477,-0.10951913640824337,1.2188420019627086,1.6251226692836114,-0.39744847890088325,-0.03532875368007851
2617,Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29.0,1994.0,MF,30,27,2284,25.4,4,0,1031,1238,83.3,18110,5195,12,119,7,0,148,148,0,0.9,0.9,-0.9,1219.0,14.0,9.0,1.0,6.0,4.0,3.0,0.0,1504,946,194,42,29,69.0,12,28.6,1107,5683,2425,22,22,2,1006,25,47,28,22,25,72,173.0,2,31.0,8.0,25.8,1.22,0.32,3.0,1.4,-1.0,-1.4,42.0,40.0,51.2,27.0,32.0,74.6,15.0,3.0,0.9,19.0,34.0,-15.0,-0.59,24.7,40.4,-15.7,-0.62,103.1217162872154,0.1576182136602452,0.0,40.626094570928196,48.78283712784588,3.282399299474606,713.61646234676,204.70665499124343,0.47285464098073554,4.689141856392294,0.27583187390542907,0.0,5.831873905429071,5.831873905429071,0.0,0.03546409807355517,0.03546409807355517,-0.03546409807355517,48.034150612959714,0.5516637478108581,0.35464098073555167,0.0394045534150613,0.23642732049036777,0.1576182136602452,0.11821366024518389,0.0,59.26444833625219,37.27670753064799,7.644483362521892,1.6549912434325744,1.1427320490367776,2.718914185639229,0.47285464098073554,1.1269702276707532,43.620840630472856,223.93607705779334,95.55604203152365,0.8669001751313485,0.8669001751313485,0.0788091068301226,39.640980735551665,0.9851138353765324,1.8520140105078808,1.1033274956217163,0.8669001751313485,0.9851138353765324,2.8371278458844134,6.8169877408056045,0.0788091068301226,1.2215411558669003,0.3152364273204904,1.0166374781085816,0.048073555166374786,0.012609457092819614,0.11821366024518389,0.05516637478108581,-0.0394045534150613,-0.05516637478108581,1.6549912434325744,1.5761821366024518,2.0175131348511384,1.063922942206655,1.2609457092819616,2.9395796847635727,0.5910683012259195,0.11821366024518389,0.03546409807355517,0.7486865148861647,1.339754816112084,-0.5910683012259195,-0.023248686514886163,0.973292469352014,1.5919439579684762,-0.6186514886164624,-0.024430823117338005
1214,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24.0,1998.0,MF,17,10,918,10.2,1,0,248,318,78.0,4487,1116,12,22,10,0,42,42,2,1.0,0.7,1.0,295.0,21.0,6.0,2.0,8.0,23.0,2.0,12.0,419,226,151,38,16,42.1,21,55.3,324,2436,1153,29,29,3,304,53,8,5,3,8,16,49.0,3,17.0,6.0,35.3,1.67,0.59,2.0,1.2,1.0,0.8,5.0,18.0,21.7,8.0,14.0,30.0,1.0,7.0,0.53,13.0,20.0,-7.0,-0.69,10.7,16.9,-6.1,-0.6,119.01960784313725,0.09803921568627452,0.0,24.31372549019608,31.176470588235293,7.647058823529412,439.90196078431376,109.41176470588235,1.1764705882352942,2.156862745098039,0.9803921568627452,0.0,4.117647058823529,4.117647058823529,0.19607843137254904,0.09803921568627452,0.06862745098039215,0.09803921568627452,28.92156862745098,2.0588235294117645,0.5882352941176471,0.19607843137254904,0.7843137254901962,2.2549019607843137,0.19607843137254904,1.1764705882352942,41.07843137254902,22.15686274509804,14.80392156862745,3.7254901960784315,1.5686274509803924,4.127450980392157,2.0588235294117645,5.421568627450981,31.764705882352942,238.8235294117647,113.03921568627452,2.843137254901961,2.843137254901961,0.29411764705882354,29.80392156862745,5.196078431372549,0.7843137254901962,0.4901960784313726,0.29411764705882354,0.7843137254901962,1.5686274509803924,4.803921568627451,0.29411764705882354,1.6666666666666665,0.5882352941176471,3.46078431372549,0.16372549019607843,0.05784313725490196,0.19607843137254904,0.11764705882352941,0.09803921568627452,0.07843137254901962,0.4901960784313726,1.7647058823529411,2.127450980392157,0.7843137254901962,1.3725490196078431,2.9411764705882355,0.09803921568627452,0.6862745098039216,0.05196078431372549,1.2745098039215685,1.9607843137254903,-0.6862745098039216,-0.06764705882352941,1.049019607843137,1.656862745098039,-0.5980392156862745,-0.058823529411764705
1491,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23.0,2000.0,MF,6,2,197,2.2,0,1,65,74,87.8,1319,446,2,6,1,0,4,4,0,0.3,0.0,-0.3,73.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,99,42,8,3,2,66.7,1,33.3,66,377,79,0,0,0,58,2,3,1,1,4,7,10.0,0,1.0,0.0,0.0,0.46,0.0,0.1,0.1,-0.1,-0.1,2.0,2.0,50.0,3.0,2.0,6.4,0.0,4.0,1.17,1.0,9.0,-8.0,-3.65,2.7,4.8,-2.1,-0.96,681.1675126903554,0.0,0.45685279187817257,29.695431472081218,33.807106598984774,40.111675126903556,602.5888324873097,203.75634517766497,0.9137055837563451,2.7411167512690358,0.45685279187817257,0.0,1.8274111675126903,1.8274111675126903,0.0,0.13705583756345177,0.0,-0.13705583756345177,33.3502538071066,0.45685279187817257,0.45685279187817257,0.0,0.0,0.0,0.0,0.0,45.22842639593908,19.18781725888325,3.6548223350253806,1.3705583756345179,0.9137055837563451,30.472081218274113,0.45685279187817257,15.213197969543147,30.15228426395939,172.23350253807106,36.09137055837563,0.0,0.0,0.0,26.49746192893401,0.9137055837563451,1.3705583756345179,0.45685279187817257,0.45685279187817257,1.8274111675126903,3.197969543147208,4.568527918781726,0.0,0.45685279187817257,0.0,0.0,0.2101522842639594,0.0,0.045685279187817264,0.045685279187817264,-0.045685279187817264,-0.045685279187817264,0.9137055837563451,0.9137055837563451,22.84263959390863,1.3705583756345179,0.9137055837563451,2.923857868020305,0.0,1.8274111675126903,0.534517766497462,0.45685279187817257,4.111675126903553,-3.6548223350253806,-1.6675126903553297,1.233502538071066,2.1928934010152283,-0.9593908629441625,-0.4385786802030457
1144,Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21.0,2002.0,MF,23,5,459,5.1,1,0,123,152,80.9,1739,280,9,5,2,0,13,13,3,0.9,1.2,2.1,151.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,222,99,105,14,4,28.6,9,64.3,135,812,386,14,14,5,177,33,10,4,4,2,12,20.0,2,18.0,6.0,33.3,3.53,1.18,3.1,3.1,-1.1,-1.1,8.0,10.0,44.4,8.0,7.0,15.0,1.0,18.0,2.83,13.0,3.0,10.0,1.96,13.4,4.8,8.6,1.68,224.3137254901961,0.19607843137254904,0.0,24.11764705882353,29.80392156862745,15.862745098039216,340.98039215686276,54.90196078431372,1.7647058823529411,0.9803921568627452,0.3921568627450981,0.0,2.549019607843137,2.549019607843137,0.5882352941176471,0.1764705882352941,0.23529411764705882,0.411764705882353,29.6078431372549,0.19607843137254904,0.0,0.0,0.0,0.0,0.19607843137254904,0.0,43.529411764705884,19.411764705882355,20.588235294117645,2.7450980392156863,0.7843137254901962,5.6078431372549025,1.7647058823529411,12.6078431372549,26.47058823529412,159.2156862745098,75.68627450980392,2.7450980392156863,2.7450980392156863,0.9803921568627452,34.70588235294118,6.470588235294117,1.9607843137254903,0.7843137254901962,0.7843137254901962,0.3921568627450981,2.3529411764705883,3.9215686274509807,0.3921568627450981,3.5294117647058822,1.1764705882352942,6.529411764705881,0.692156862745098,0.23137254901960785,0.6078431372549019,0.6078431372549019,-0.21568627450980393,-0.21568627450980393,1.5686274509803924,1.9607843137254903,8.705882352941178,1.5686274509803924,1.3725490196078431,2.9411764705882355,0.19607843137254904,3.5294117647058822,0.5549019607843138,2.549019607843137,0.5882352941176471,1.9607843137254903,0.3843137254901961,2.627450980392157,0.9411764705882353,1.6862745098039216,0.32941176470588235
1419,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35.0,1988.0,MF,25,13,850,9.4,2,0,451,509,88.6,4936,1088,15,21,16,1,39,39,1,1.7,2.0,-0.7,491.0,15.0,5.0,3.0,0.0,7.0,0.0,4.0,574,268,229,13,3,23.1,9,69.2,354,1310,483,9,9,4,491,55,8,3,4,3,11,22.0,0,11.0,2.0,18.2,1.16,0.21,0.8,0.8,-0.8,-0.8,3.0,5.0,37.5,8.0,11.0,24.9,0.0,12.0,1.24,12.0,13.0,-1.0,-0.11,10.9,11.7,-0.8,-0.08,150.24705882352941,0.2117647058823529,0.0,47.75294117647059,53.89411764705883,9.381176470588235,522.635294117647,115.2,1.588235294117647,2.2235294117647055,1.6941176470588233,0.10588235294117646,4.129411764705883,4.129411764705883,0.10588235294117646,0.18,0.2117647058823529,-0.07411764705882352,51.98823529411764,1.588235294117647,0.5294117647058824,0.31764705882352945,0.0,0.7411764705882353,0.0,0.4235294117647058,60.77647058823529,28.376470588235296,24.24705882352941,1.3764705882352941,0.31764705882352945,2.4458823529411764,0.9529411764705882,7.327058823529412,37.482352941176465,138.7058823529412,51.141176470588235,0.9529411764705882,0.9529411764705882,0.4235294117647058,51.98823529411764,5.8235294117647065,0.8470588235294116,0.31764705882352945,0.4235294117647058,0.31764705882352945,1.1647058823529413,2.3294117647058825,0.0,1.1647058823529413,0.2117647058823529,1.9270588235294117,0.12282352941176469,0.022235294117647058,0.08470588235294117,0.08470588235294117,-0.08470588235294117,-0.08470588235294117,0.31764705882352945,0.5294117647058824,3.9705882352941178,0.8470588235294116,1.1647058823529413,2.636470588235294,0.0,1.2705882352941178,0.13129411764705884,1.2705882352941178,1.3764705882352941,-0.10588235294117646,-0.011647058823529411,1.1541176470588235,1.2388235294117647,-0.08470588235294117,-0.008470588235294119
2760,Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,19.0,2004.0,MF,16,15,1297,14.4,2,0,464,596,77.9,8091,2486,21,51,16,3,79,79,3,2.4,1.5,0.6,553.0,34.0,13.0,3.0,2.0,25.0,0.0,15.0,742,426,183,7,3,42.9,2,28.6,346,1441,723,14,14,0,449,10,48,32,22,20,68,76.0,0,10.0,1.0,10.0,0.69,0.07,0.3,0.3,-0.3,-0.3,7.0,12.0,36.8,18.0,21.0,37.9,6.0,1.0,1.56,27.0,16.0,11.0,0.76,19.9,17.6,2.3,0.16,191.5188897455667,0.13878180416345412,0.0,32.19737856592136,41.35697764070933,5.405551272166538,561.4417887432537,172.50578257517347,1.4572089437162683,3.5389360061680804,1.110254433307633,0.2081727062451812,5.481881264456438,5.481881264456438,0.2081727062451812,0.16653816499614493,0.1040863531225906,0.04163454124903623,38.37316885119507,2.35929067077872,0.9020817270624518,0.2081727062451812,0.13878180416345412,1.7347725520431767,0.0,1.0408635312259058,51.48804934464148,29.56052428681573,12.698535080956052,0.48573631457208943,0.2081727062451812,2.9768696993060906,0.13878180416345412,1.984579799537394,24.009252120277562,99.9922898997687,50.169622205088665,0.9714726291441789,0.9714726291441789,0.0,31.15651503469545,0.6939090208172707,3.330763299922899,2.220508866615266,1.5265998457979955,1.3878180416345414,4.71858134155744,5.273708558211257,0.0,0.6939090208172707,0.06939090208172706,0.6939090208172707,0.047879722436391665,0.0048573631457208945,0.020817270624518117,0.020817270624518117,-0.020817270624518117,-0.020817270624518117,0.48573631457208943,0.8326908249807248,2.5535851966075556,1.249036237471087,1.4572089437162683,2.629915188897456,0.4163454124903624,0.06939090208172706,0.10824980724749422,1.8735543562066308,1.110254433307633,0.7632999228989977,0.05273708558211257,1.3808789514263684,1.2212798766383963,0.15959907478797222,0.01110254433307633
244,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26.0,1997.0,MF,23,11,974,10.8,1,0,311,431,72.2,5102,1027,11,25,5,0,29,29,1,0.8,0.6,0.2,411.0,18.0,3.0,2.0,5.0,6.0,1.0,0.0,560,304,169,34,21,61.8,13,38.2,314,1759,702,17,17,0,341,43,22,13,12,4,26,76.0,1,12.0,3.0,25.0,1.11,0.28,1.7,1.7,-0.7,-0.7,18.0,26.0,40.9,14.0,10.0,31.8,1.0,12.0,1.13,16.0,20.0,-4.0,-0.37,11.4,20.3,-9.0,-0.83,22.546201232032853,0.09240246406570843,0.0,28.737166324435318,39.82546201232033,6.671457905544147,471.43737166324433,94.89733059548254,1.0164271047227926,2.3100616016427105,0.46201232032854206,0.0,2.679671457905544,2.679671457905544,0.09240246406570843,0.07392197125256675,0.05544147843942505,0.018480492813141687,37.97741273100616,1.6632443531827514,0.27720739219712526,0.18480492813141686,0.46201232032854206,0.5544147843942505,0.09240246406570843,0.0,51.74537987679671,28.09034907597536,15.616016427104721,3.141683778234086,1.9404517453798769,5.71047227926078,1.2012320328542094,3.529774127310062,29.014373716632445,162.5359342915811,64.8665297741273,1.570841889117043,1.570841889117043,0.0,31.50924024640657,3.973305954825462,2.0328542094455853,1.2012320328542094,1.108829568788501,0.3696098562628337,2.402464065708419,7.02258726899384,0.09240246406570843,1.108829568788501,0.27720739219712526,2.3100616016427105,0.10256673511293635,0.02587268993839836,0.1570841889117043,0.1570841889117043,-0.0646817248459959,-0.0646817248459959,1.6632443531827514,2.402464065708419,3.7792607802874745,1.2936344969199178,0.9240246406570841,2.938398357289528,0.09240246406570843,1.108829568788501,0.1044147843942505,1.4784394250513349,1.8480492813141682,-0.3696098562628337,-0.03418891170431211,1.053388090349076,1.8757700205338808,-0.8316221765913757,-0.07669404517453798
2164,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28.0,1995.0,MF,31,30,2651,29.5,8,0,996,1211,82.2,14960,3691,26,103,23,10,120,120,3,4.1,4.0,-1.1,1167.0,40.0,15.0,3.0,7.0,45.0,25.0,0.0,1525,829,447,54,28,51.9,21,38.9,893,5580,2746,72,72,10,1027,106,58,39,30,25,83,150.0,5,38.0,16.0,42.1,1.29,0.54,3.5,3.4,1.5,1.6,54.0,40.0,57.4,44.0,38.0,77.5,28.0,1.0,1.9,37.0,24.0,13.0,0.44,41.2,23.8,17.4,0.59,73.46661637118069,0.2715956242927197,0.0,33.81365522444361,41.11278762731045,2.7906450396076954,507.8838174273859,125.30743115805357,0.8826857789513392,3.496793662768767,0.7808374198415692,0.33949453036589966,4.073934364390796,4.073934364390796,0.1018483591097699,0.13919275745001886,0.13579781214635986,-0.03734439834024897,39.61901169370049,1.3579781214635986,0.5092417955488495,0.1018483591097699,0.23764617125612975,1.5277253866465483,0.8487363259147491,0.0,51.7729158807997,28.14409656733308,15.175405507355716,1.8332704639758581,0.950584685024519,1.761976612599019,0.7129385137683893,1.3206337231233496,30.316861561674838,189.43794794417198,93.22519803847604,2.4443606186344775,2.4443606186344775,0.33949453036589966,34.8660882685779,3.5986420218785367,1.969068276122218,1.3240286684270086,1.018483591097699,0.8487363259147491,2.8178046020369667,5.092417955488495,0.16974726518294983,1.2900792153904188,0.5431912485854394,1.4292719728404377,0.043794794417201056,0.018332704639758585,0.11882308562806487,0.11542814032440589,0.05092417955488495,0.05431912485854395,1.8332704639758581,1.3579781214635986,1.9486986043002639,1.4937759336099585,1.2900792153904188,2.6310826103357225,0.950584685024519,0.033949453036589965,0.06450396076952093,1.2561297623538288,0.8147868728781592,0.4413428894756696,0.014937759336099584,1.3987174651075067,0.8079969822708412,0.5907204828366653,0.02003017729158808
