Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
39,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,Matches
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,185,175,10,6,1,0,0,4,0,0,0,0,145,0,0,Matches
42,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17,Matches
43,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Matches
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,203,193,7,0,0,0,8,1,0,0,0,0,154,3,4,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,453,423,28,2,2,4,3,0,0,0,0,0,318,2,6,Matches
47,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,Matches
48,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,Matches
50,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,481,464,14,5,4,2,29,5,4,1,1,0,372,3,14,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,801,630,169,19,1,5,57,148,2,0,1,0,620,2,22,Matches
52,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,350,287,61,3,0,0,21,57,0,0,0,0,277,2,8,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,8,7,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,833,773,54,12,8,2,54,3,37,14,8,0,645,6,24,Matches
55,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
56,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2,Matches
57,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,263,260,3,1,1,1,1,0,0,0,0,0,220,0,11,Matches
58,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
59,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,711,680,30,17,0,2,4,13,0,0,0,0,611,1,6,Matches
60,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,904,835,65,23,4,7,17,5,12,7,3,0,810,4,2,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,1679,1452,215,71,14,6,150,13,114,45,54,0,1303,12,28,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,1272,1207,61,45,0,6,0,3,0,0,0,0,1095,4,8,Matches
63,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
64,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,165,155,10,7,2,1,1,2,1,0,0,0,143,0,3,Matches
65,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,1582,1462,106,85,1,42,36,7,8,1,7,0,1271,14,17,Matches
66,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,1056,985,58,54,0,37,5,3,0,0,0,0,678,13,11,Matches
67,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,481,433,46,10,1,2,151,24,12,0,11,0,245,2,32,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,396,359,36,17,1,4,33,5,14,13,1,0,308,1,12,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,Matches
70,Aboubacar Ali,km COM,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,34,34,0,0,0,0,6,0,0,0,0,0,22,0,1,Matches
71,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,66,66,0,0,0,0,11,0,0,0,0,0,38,0,1,Matches
72,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,268,245,22,6,1,0,44,0,16,8,7,0,193,1,8,Matches
73,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,305,293,12,0,0,2,39,7,1,0,1,0,196,0,17,Matches
74,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,358,289,66,17,6,1,54,1,36,23,13,0,228,3,14,Matches
75,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,Matches
76,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,98,97,1,0,1,1,10,0,0,0,0,0,60,0,6,Matches
77,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,743,675,65,2,1,0,47,57,1,0,0,0,589,3,17,Matches
78,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,399,375,24,12,0,4,18,2,7,0,5,0,315,0,18,Matches
79,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,Matches
80,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,23.4,478,472,6,2,1,0,21,3,1,1,0,0,351,0,19,Matches
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,2.8,214,171,43,10,0,3,15,27,6,2,2,0,180,0,5,Matches
82,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,8.6,465,400,65,5,0,1,5,60,0,0,0,0,389,0,10,Matches
83,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,6.3,320,315,3,1,0,4,1,1,1,1,0,0,289,2,3,Matches
84,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,Matches
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,28.2,1017,878,138,35,0,10,25,101,0,0,0,0,754,1,17,Matches
86,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,8.5,455,379,73,8,4,1,22,58,7,1,5,1,380,3,10,Matches
87,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,Matches
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,12.8,710,674,32,30,2,8,1,1,0,0,0,0,572,4,7,Matches
89,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2,Matches
90,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,1.4,76,75,1,1,0,1,0,0,0,0,0,0,59,0,2,Matches
