Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
238,Elias Baum,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,17,2005,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
239,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
240,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,23,1999,12.9,5,31,11,35.5,2.41,0.85,0.16,0.45,14.7,0,0,0,3.7,3.7,0.12,+1.3,+1.3,Matches
241,Bebé,cv CPV,"MF,FW",Rayo Vallecano,es La Liga,33,1990,2.4,2,15,4,26.7,6.37,1.70,0.07,0.25,30.2,3,1,1,1.4,0.7,0.04,+0.6,+0.3,Matches
242,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,de Bundesliga,29,1994,18.2,7,38,14,36.8,2.09,0.77,0.18,0.50,17.1,0,0,0,4.9,4.9,0.13,+2.1,+2.1,Matches
243,Mohamed Bechikh,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,18,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
244,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26,1997,10.8,1,12,3,25.0,1.11,0.28,0.08,0.33,13.5,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
245,Owen Beck,wls WAL,DF,Liverpool,eng Premier League,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,28,1995,8.6,2,21,9,42.9,2.45,1.05,0.10,0.22,17.1,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
247,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28,1995,7.2,0,16,4,25.0,2.23,0.56,0.00,0.00,20.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
248,Chris Bedia,ci CIV,"FW,MF",Union Berlin,de Bundesliga,27,1996,1.6,1,3,1,33.3,1.86,0.62,0.33,1.00,16.9,0,0,0,0.2,0.2,0.07,+0.8,+0.8,Matches
249,Donny van de Beek,nl NED,DF,Manchester Utd,eng Premier League,26,1997,0.0,0,1,0,0.0,30.00,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
250,Donny van de Beek,nl NED,"MF,FW",Eint Frankfurt,de Bundesliga,26,1997,4.0,0,1,0,0.0,0.25,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
251,Yanis Begraoui,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2001,3.3,0,8,4,50.0,2.40,1.20,0.00,0.00,17.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
252,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,32,1991,6.8,1,11,6,54.5,1.61,0.88,0.09,0.17,11.6,0,0,0,1.6,1.6,0.15,-0.6,-0.6,Matches
253,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32,1991,14.0,4,41,13,31.7,2.92,0.93,0.10,0.31,10.8,0,0,0,6.0,6.0,0.15,-2.0,-2.0,Matches
254,Maximilian Beier,de GER,"FW,MF",Hoffenheim,de Bundesliga,20,2002,26.9,16,82,39,47.6,3.05,1.45,0.20,0.41,15.4,0,0,0,11.4,11.4,0.14,+4.6,+4.6,Matches
255,Jérémie Bela,ao ANG,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,2.3,0,6,2,33.3,2.66,0.89,0.00,0.00,22.6,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
256,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,19,2004,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
257,Reda Belahyane,ma MAR,MF,Nice,fr Ligue 1,19,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
