Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
854,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,1997,4.0,1,0,0,2,1,0,0,4,3,0,0,0,23,2,6,25.0,Matches
855,João Félix,pt POR,FW,Barcelona,es La Liga,23,1999,17.1,3,0,0,21,54,9,17,10,16,0,0,0,68,8,8,50.0,Matches
856,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,32.5,5,1,1,29,23,0,3,46,21,1,0,1,150,111,68,62.0,Matches
857,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32,1991,17.6,8,1,1,25,3,0,28,31,25,0,1,0,106,10,11,47.6,Matches
858,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,2004,15.2,1,0,0,24,25,5,1,2,6,1,0,0,25,13,18,41.9,Matches
859,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,30.1,8,0,0,52,72,4,11,17,21,1,1,0,142,34,40,45.9,Matches
860,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,34.6,9,0,0,41,28,13,223,27,38,0,0,0,200,21,25,45.7,Matches
861,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,1996,14.3,4,0,0,10,8,2,53,22,16,0,0,0,88,19,19,50.0,Matches
862,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,1991,6.1,2,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.0,Matches
863,Álex Fernández,es ESP,MF,Cádiz,es La Liga,30,1992,14.3,3,0,0,5,16,0,35,15,9,0,0,0,82,13,16,44.8,Matches
864,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27,1996,4.5,3,0,0,15,3,2,1,0,7,0,1,0,18,16,17,48.5,Matches
865,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22,2001,24.5,7,0,0,33,31,4,45,17,22,1,1,0,122,21,23,47.7,Matches
866,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,Matches
867,Valery Fernández,es ESP,"MF,FW",Girona,es La Liga,23,1999,5.6,1,0,0,6,13,3,13,1,9,0,0,0,30,2,3,40.0,Matches
868,Fernando,es ESP,GK,Almería,es La Liga,33,1990,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,100.0,Matches
869,Fernando,br BRA,MF,Sevilla,es La Liga,36,1987,5.1,0,0,0,6,3,0,4,7,8,0,0,0,35,10,8,55.6,Matches
870,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
871,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,2003,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches
872,André Ferreira,pt POR,GK,Granada,es La Liga,27,1996,14.9,1,0,0,2,2,0,0,0,0,0,2,0,18,7,1,87.5,Matches
873,João Ferreira,pt POR,DF,Udinese,it Serie A,22,2001,20.2,9,0,0,35,11,2,21,29,42,1,1,0,106,18,14,56.3,Matches
874,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,1992,22.6,6,0,0,48,43,0,38,13,22,0,1,0,174,10,20,33.3,Matches
875,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,2004,0.8,0,0,0,1,2,0,0,0,3,0,0,0,2,9,9,50.0,Matches
876,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,2005,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,100.0,Matches
877,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,2006,0.4,0,0,0,0,2,0,1,0,0,0,0,0,1,1,2,33.3,Matches
878,Max Finkgräfe,de GER,"DF,FW",Köln,de Bundesliga,19,2004,19.5,4,0,0,19,21,0,61,22,39,0,0,0,104,23,27,46.0,Matches
879,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4.0,1,1,0,0,3,0,0,0,0,0,0,0,2,1,0,100.0,Matches
880,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,2000,3.2,1,0,0,4,3,0,11,1,6,0,0,0,10,0,5,0.0,Matches
881,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,1991,1.0,1,0,0,2,2,0,0,0,0,0,0,0,5,2,7,22.2,Matches
