Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
38,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
39,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,3.9,13,9,5,6,2,8,17,47.1,9,3,0,3,2,15,4,0,Matches
40,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,29.4,64,36,48,14,2,30,49,61.2,19,43,26,17,34,98,137,2,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,4.5,8,3,6,2,0,4,8,50.0,4,3,1,2,4,12,28,0,Matches
42,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,18.8,47,31,31,12,4,29,40,72.5,11,19,3,16,18,65,51,1,Matches
43,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,25.9,71,44,41,23,7,28,49,57.1,21,32,6,26,15,86,38,0,Matches
44,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,10.0,6,4,2,3,1,3,9,33.3,6,4,1,3,2,8,8,0,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,20.4,38,21,25,9,4,23,36,63.9,13,26,11,15,25,63,79,1,Matches
46,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,15.1,3,2,1,2,0,2,11,18.2,9,6,2,4,4,7,11,0,Matches
47,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,27.9,42,28,16,18,8,22,39,56.4,17,28,12,16,23,65,70,3,Matches
48,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
49,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,22.7,26,16,15,8,3,13,20,65.0,7,17,2,15,14,40,54,0,Matches
50,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,16.8,36,21,11,16,9,10,20,50.0,10,10,2,8,13,49,13,0,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,18.6,27,15,18,7,2,13,16,81.3,3,14,4,10,10,37,34,0,Matches
52,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,9.1,11,5,6,3,2,8,11,72.7,3,9,3,6,10,21,25,0,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,17.9,37,23,12,20,5,12,36,33.3,24,21,0,21,9,46,3,0,Matches
55,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,0.3,5,3,0,2,3,3,3,100.0,0,3,1,2,1,6,1,0,Matches
56,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,3.4,14,9,2,10,2,6,7,85.7,1,5,1,4,6,20,11,0,Matches
57,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,7.8,20,11,14,4,2,3,9,33.3,6,10,4,6,12,32,15,1,Matches
58,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,0.6,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
59,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,12.2,35,18,22,12,1,26,35,74.3,9,28,8,20,18,53,32,0,Matches
60,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,12.8,13,9,7,5,1,4,8,50.0,4,10,7,3,15,28,34,0,Matches
61,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,25.7,35,20,16,12,7,15,53,28.3,38,34,4,30,7,42,13,0,Matches
62,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,22.6,25,14,15,9,1,18,27,66.7,9,31,24,7,16,41,102,0,Matches
63,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
64,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,4.2,6,6,0,6,0,5,10,50.0,5,5,2,3,5,11,4,0,Matches
65,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,34.8,97,59,39,52,6,50,121,41.3,71,60,14,46,33,130,55,2,Matches
66,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,24.4,28,21,15,13,0,19,35,54.3,16,30,18,12,13,41,111,0,Matches
67,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,18.8,40,23,23,11,6,17,57,29.8,40,20,0,20,7,47,17,0,Matches
68,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,11.3,24,8,7,14,3,10,24,41.7,14,14,3,11,4,28,13,0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,23.9,39,26,26,11,2,27,87,31.0,60,22,2,20,31,70,48,5,Matches
70,Aboubacar Ali,km COM,"MF,FW",Strasbourg,fr Ligue 1,17,2006,1.4,2,0,0,2,0,0,0,,0,1,0,1,1,3,2,0,Matches
71,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,2.8,4,3,3,1,0,2,7,28.6,5,6,0,6,1,5,1,0,Matches
72,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,9.6,12,9,4,7,1,3,11,27.3,8,10,0,10,3,15,6,0,Matches
73,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,14.2,10,4,3,6,1,4,18,22.2,14,23,2,21,8,18,15,1,Matches
74,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,11.2,3,2,2,1,0,2,4,50.0,2,6,1,5,3,6,4,0,Matches
75,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,4,Matches
76,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,3.7,6,1,3,2,1,4,6,66.7,2,3,0,3,3,9,3,0,Matches
77,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,20.7,30,18,11,14,5,14,35,40.0,21,20,3,17,13,43,30,0,Matches
78,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,10.7,25,15,9,12,4,9,19,47.4,10,13,1,12,6,31,5,0,Matches
79,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,21.5,36,24,13,15,8,11,29,37.9,18,29,2,27,10,46,13,0,Matches
