Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
826,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34,1989,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
827,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,21,2002,14.5,27,10,15,12,0,18,32,56.3,14,21,10,11,27,54,56,0,Matches
828,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21,2002,11.1,16,12,11,5,0,10,15,66.7,5,13,9,4,18,34,50,0,Matches
829,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,26,1996,2.9,5,4,0,3,2,1,2,50.0,1,2,0,2,0,5,0,0,Matches
830,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25,1998,13.8,26,13,12,11,3,14,30,46.7,16,14,4,10,21,47,20,0,Matches
831,Karl Etta,cm CMR,FW,Cádiz,es La Liga,19,2003,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
832,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,35,1988,15.5,22,14,20,2,0,12,21,57.1,9,25,18,7,23,45,76,0,Matches
833,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,25,1998,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0,Matches
834,Abde Ezzalzouli,ma MAR,"FW,MF",Barcelona,es La Liga,21,2001,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches
835,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21,2001,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,Matches
836,Giovanni Fabbian,it ITA,"MF,FW",Bologna,it Serie A,20,2003,11.7,17,10,9,7,1,7,12,58.3,5,5,2,3,7,24,11,0,Matches
837,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38,1985,8.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,4,0,Matches
838,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22,2001,4.9,5,3,1,3,1,3,7,42.9,4,3,0,3,4,9,1,0,Matches
839,Romain Faivre,fr FRA,"MF,FW",Bournemouth,eng Premier League,25,1998,0.5,1,1,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0,Matches
840,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,16.1,13,6,5,4,4,6,15,40.0,9,6,1,5,7,20,3,1,Matches
841,Ilhan Fakili,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2006,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
842,Radamel Falcao,co COL,"FW,DF",Rayo Vallecano,es La Liga,37,1986,4.5,7,5,1,5,1,1,3,33.3,2,2,0,2,3,10,4,0,Matches
843,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,1995,38.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,21,2,Matches
844,Fali,es ESP,DF,Cádiz,es La Liga,29,1993,28.3,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120,0,Matches
845,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31,1991,6.7,13,10,5,6,2,7,10,70.0,3,9,5,4,6,19,21,0,Matches
846,Davide Faraoni,it ITA,DF,Fiorentina,it Serie A,31,1991,4.4,9,4,5,2,2,5,11,45.5,6,3,1,2,5,14,14,0,Matches
847,Ansu Fati,es ESP,"MF,FW",Brighton,eng Premier League,20,2002,5.8,5,3,1,2,2,1,11,9.1,10,8,0,8,3,8,3,0,Matches
848,Ansu Fati,es ESP,"MF,FW",Barcelona,es La Liga,20,2002,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
849,Khalil Fayad,fr FRA,"FW,MF",Montpellier,fr Ligue 1,19,2004,11.4,28,15,17,7,4,9,22,40.9,13,15,3,12,14,42,6,0,Matches
850,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,36,1987,15.1,18,11,14,4,0,8,14,57.1,6,22,19,3,17,35,99,1,Matches
851,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,20,2003,13.7,49,25,27,13,9,30,53,56.6,23,21,3,18,12,61,18,0,Matches
852,Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,30,1993,11.7,15,10,5,7,3,5,10,50.0,5,9,0,9,7,22,3,0,Matches
853,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,34,1989,4.2,12,9,9,3,0,9,12,75.0,3,4,1,3,4,16,12,0,Matches
854,Luiz Felipe,it ITA,DF,Betis,es La Liga,26,1997,4.0,7,3,5,2,0,4,5,80.0,1,10,4,6,4,11,16,0,Matches
855,João Félix,pt POR,FW,Barcelona,es La Liga,23,1999,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11,0,Matches
856,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25,1997,32.5,37,21,18,14,5,16,25,64.0,9,45,35,10,46,83,178,2,Matches
857,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32,1991,17.6,35,25,19,13,3,19,34,55.9,15,21,6,15,31,66,45,0,Matches
858,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18,2004,15.2,14,6,4,7,3,5,14,35.7,9,10,3,7,2,16,8,0,Matches
859,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23,1999,30.1,37,21,16,17,4,16,37,43.2,21,25,8,17,17,54,27,1,Matches
860,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2,Matches
861,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,27,1996,14.3,25,16,15,9,1,16,24,66.7,8,14,6,8,22,47,52,0,Matches
862,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,1991,6.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
863,Álex Fernández,es ESP,MF,Cádiz,es La Liga,30,1992,14.3,19,9,10,9,0,11,22,50.0,11,17,5,12,15,34,30,0,Matches
864,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,27,1996,4.5,11,7,3,6,2,0,2,0.0,2,4,0,4,0,11,5,0,Matches
865,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,22,2001,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0,Matches
866,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,1988,3.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,2,Matches
867,Valery Fernández,es ESP,"MF,FW",Girona,es La Liga,23,1999,5.6,11,9,4,7,0,6,8,75.0,2,6,1,5,1,12,4,0,Matches
868,Fernando,es ESP,GK,Almería,es La Liga,33,1990,4.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
869,Fernando,br BRA,MF,Sevilla,es La Liga,36,1987,5.1,9,8,2,4,3,5,9,55.6,4,2,0,2,7,16,9,0,Matches
870,Ichem Ferrah,fr FRA,FW,Lille,fr Ligue 1,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
871,Andrea Ferraris,it ITA,MF,Monza,it Serie A,20,2003,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
872,André Ferreira,pt POR,GK,Granada,es La Liga,27,1996,14.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,2,Matches
873,João Ferreira,pt POR,DF,Udinese,it Serie A,22,2001,20.2,58,42,36,18,4,34,58,58.6,24,27,6,21,29,87,89,0,Matches
874,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,31,1992,22.6,36,22,16,17,3,20,67,29.9,47,19,1,18,13,49,23,0,Matches
875,Nacho Ferri,es ESP,"FW,MF",Eint Frankfurt,de Bundesliga,18,2004,0.8,3,3,1,2,0,2,3,66.7,1,0,0,0,0,3,2,0,Matches
876,Rachad Fettal,ma MAR,FW,Almería,es La Liga,18,2005,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
877,Seydou Fini,it ITA,"DF,FW",Genoa,it Serie A,17,2006,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
878,Max Finkgräfe,de GER,"DF,FW",Köln,de Bundesliga,19,2004,19.5,65,39,40,25,0,39,74,52.7,35,35,10,25,22,87,39,0,Matches
879,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
880,Kilian Fischer,de GER,"DF,MF",Wolfsburg,de Bundesliga,22,2000,3.2,8,6,4,3,1,2,5,40.0,3,8,1,7,1,9,12,0,Matches
881,John Fleck,sct SCO,"MF,DF",Sheffield Utd,eng Premier League,31,1991,1.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
882,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,36.5,1,1,1,0,0,1,5,20.0,4,1,0,1,0,1,17,1,Matches
883,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,32,1991,19.2,43,21,26,12,5,26,48,54.2,22,16,9,7,20,63,25,1,Matches
884,Phil Foden,eng ENG,"FW,MF",Manchester City,eng Premier League,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,Matches
885,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,29.4,5,3,5,0,0,5,6,83.3,1,0,0,0,0,5,18,6,Matches
886,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,18,2005,6.2,5,4,3,1,1,4,9,44.4,5,3,0,3,5,10,9,0,Matches
887,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,24,1999,30.0,61,39,19,36,6,30,66,45.5,36,35,7,28,37,98,31,1,Matches
888,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,27,1996,31.0,44,24,24,14,6,19,36,52.8,17,34,19,15,31,75,70,0,Matches
889,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,28,1994,20.4,32,17,21,8,3,20,45,44.4,25,34,12,22,25,57,36,0,Matches
890,Michael Folorunsho,it ITA,"MF,FW",Hellas Verona,it Serie A,25,1998,30.9,50,28,21,22,7,23,57,40.4,34,45,12,33,17,67,44,2,Matches
891,Tiago Fonseca Morais,pt POR,FW,Lille,fr Ligue 1,19,2003,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
892,Pablo Fornals,es ESP,"MF,FW",West Ham,eng Premier League,27,1996,4.7,10,6,4,3,3,5,16,31.3,11,8,1,7,6,16,7,0,Matches
893,Pablo Fornals,es ESP,"FW,MF",Betis,es La Liga,27,1996,12.8,24,16,8,11,5,12,22,54.5,10,14,0,14,22,46,10,2,Matches
894,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,31,1991,5.2,7,3,2,5,0,5,12,41.7,7,7,0,7,0,7,5,0,Matches
895,Omari Forson,eng ENG,FW,Manchester Utd,eng Premier League,19,2004,0.8,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
896,Philipp Förster,de GER,"MF,FW",Bochum,de Bundesliga,28,1995,4.3,9,5,3,4,2,2,6,33.3,4,3,0,3,7,16,3,0,Matches
897,Héctor Fort,es ESP,DF,Barcelona,es La Liga,16,2006,3.5,6,5,5,1,0,4,10,40.0,6,0,0,0,2,8,4,0,Matches
898,Lyle Foster,za RSA,"FW,MF",Burnley,eng Premier League,22,2000,21.1,19,10,5,6,8,6,17,35.3,11,13,3,10,3,22,34,0,Matches
899,Dimitri Foulquier,fr FRA,"DF,MF",Valencia,es La Liga,30,1993,20.5,39,22,22,13,4,18,26,69.2,8,10,1,9,16,55,49,1,Matches
900,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,25,1998,11.8,26,15,18,8,0,12,27,44.4,15,17,4,13,12,38,44,0,Matches
901,Matheus França,br BRA,"MF,FW",Crystal Palace,eng Premier League,19,2004,2.6,3,3,2,1,0,1,7,14.3,6,4,0,4,1,4,1,0,Matches
902,Bartol Franjić,hr CRO,MF,Darmstadt 98,de Bundesliga,23,2000,13.7,15,12,4,10,1,7,28,25.0,21,12,4,8,30,45,29,2,Matches
903,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,28,1995,24.4,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36,0,Matches
904,Nathan Fraser,ie IRL,FW,Wolves,eng Premier League,18,2005,2.1,5,2,2,1,2,1,3,33.3,2,2,1,1,1,6,2,0,Matches
905,Davide Frattesi,it ITA,MF,Inter,it Serie A,23,1999,10.6,10,6,3,7,0,4,8,50.0,4,9,3,6,5,15,19,0,Matches
906,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,22,2001,34.9,133,72,47,70,16,55,91,60.4,36,55,14,41,51,184,42,1,Matches
907,Remo Freuler,ch SUI,MF,Bologna,it Serie A,31,1992,29.2,78,50,41,32,5,38,69,55.1,31,37,9,28,36,114,53,2,Matches
908,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,25,1998,24.4,53,32,38,15,0,36,48,75.0,12,45,29,16,35,88,129,0,Matches
909,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,27,1995,17.4,23,15,16,6,1,12,20,60.0,8,28,20,8,17,40,87,0,Matches
910,Jeremie Frimpong,nl NED,DF,Leverkusen,de Bundesliga,22,2000,25.0,26,17,12,7,7,8,20,40.0,12,26,0,26,7,33,17,0,Matches
911,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,es La Liga,26,1997,17.2,19,8,5,8,6,7,22,31.8,15,12,0,12,7,26,18,0,Matches
912,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,25,1998,28.5,30,19,6,14,10,16,37,43.2,21,31,0,31,7,37,7,0,Matches
913,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,19,2004,0.4,2,0,1,1,0,1,2,50.0,1,0,0,0,1,3,0,0,Matches
914,Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26,1996,15.3,23,14,6,13,4,11,19,57.9,8,22,1,21,8,31,11,0,Matches
915,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,30,1993,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0,Matches
916,Niclas Füllkrug,de GER,FW,Dortmund,de Bundesliga,30,1993,24.6,7,2,1,6,0,2,8,25.0,6,17,4,13,2,9,25,0,Matches
917,Gerardo Fusco,it ITA,FW,Salernitana,it Serie A,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
918,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
919,Matteo Gabbia,it ITA,DF,Milan,it Serie A,23,1999,14.2,29,20,15,13,1,18,24,75.0,6,11,6,5,10,39,48,0,Matches
920,Matteo Gabbia,it ITA,DF,Villarreal,es La Liga,23,1999,5.3,10,6,4,6,0,5,8,62.5,3,5,2,3,8,18,36,1,Matches
921,Gianluca Gaetano,it ITA,"FW,MF",Cagliari,it Serie A,23,2000,8.3,7,4,0,4,3,2,7,28.6,5,4,0,4,3,10,4,0,Matches
922,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,23,2000,1.8,4,1,0,4,0,2,4,50.0,2,5,2,3,1,5,4,0,Matches
923,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,29,1994,26.2,61,30,27,25,9,31,50,62.0,19,30,11,19,31,92,38,0,Matches
924,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,24,1999,18.3,27,17,8,14,5,8,25,32.0,17,21,4,17,14,41,7,0,Matches
925,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,28,1994,1.0,5,4,2,2,1,4,5,80.0,1,1,0,1,1,6,3,0,Matches
926,Javi Galán,es ESP,DF,Real Sociedad,es La Liga,28,1994,11.9,38,22,15,19,4,15,30,50.0,15,24,1,23,14,52,17,1,Matches
927,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,29,1993,23.2,49,31,15,26,8,24,49,49.0,25,18,5,13,12,61,17,0,Matches
928,Pablo Galdames Millán,cl CHI,"MF,DF",Genoa,it Serie A,26,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
929,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,Matches
930,Antonino Gallo,it ITA,DF,Lecce,it Serie A,23,2000,27.7,43,27,31,11,1,31,49,63.3,18,34,9,25,25,68,67,0,Matches
931,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,33,1989,13.2,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34,1,Matches
932,Kévin Gameiro,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,36,1987,15.0,10,10,5,3,2,2,17,11.8,15,9,0,9,3,13,7,0,Matches
933,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,33,1989,20.9,73,44,32,27,14,29,46,63.0,17,24,7,17,28,101,16,0,Matches
934,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,24,1999,2.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches
935,Aleix García,es ESP,MF,Girona,es La Liga,26,1997,35.5,49,28,17,26,6,28,54,51.9,26,45,17,28,36,85,53,3,Matches
936,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,30,1992,27.5,34,25,15,10,9,7,34,20.6,27,35,0,35,36,70,33,0,Matches
937,Dani García,es ESP,MF,Athletic Club,es La Liga,33,1990,8.3,17,11,4,7,6,12,24,50.0,12,9,3,6,8,25,11,0,Matches
938,David García,es ESP,DF,Osasuna,es La Liga,29,1994,25.9,29,18,19,9,1,16,26,61.5,10,40,19,21,18,47,115,2,Matches
939,Eric García,es ESP,DF,Barcelona,es La Liga,22,2001,0.6,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
940,Eric García,es ESP,DF,Girona,es La Liga,22,2001,29.3,55,37,34,18,3,34,49,69.4,15,36,18,18,30,85,79,2,Matches
941,Fran Garcia,es ESP,DF,Real Madrid,es La Liga,23,1999,15.5,25,17,11,12,2,13,31,41.9,18,16,3,13,19,44,28,1,Matches
942,Gonzalo García,es ESP,"FW,MF",Real Madrid,es La Liga,19,2004,0.2,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,Matches
943,Jastin García,es ESP,FW,Girona,es La Liga,19,2004,0.4,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
944,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,37,1986,4.7,9,6,2,4,3,4,9,44.4,5,10,1,9,3,12,9,0,Matches
945,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,30,1993,17.2,32,18,8,17,7,13,33,39.4,20,23,3,20,12,44,23,0,Matches
946,Santiago García,es ESP,FW,Getafe,es La Liga,21,2001,0.3,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
947,Ulisses Garcia,ch SUI,DF,Marseille,fr Ligue 1,27,1996,10.1,21,16,6,13,2,13,20,65.0,7,8,3,5,7,28,13,2,Matches
948,Unai García,es ESP,DF,Osasuna,es La Liga,31,1992,6.2,12,9,9,2,1,5,10,50.0,5,7,1,6,8,20,18,0,Matches
949,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19,2004,28.5,22,15,7,6,9,12,45,26.7,33,26,2,24,18,40,18,0,Matches
950,James Garner,eng ENG,MF,Everton,eng Premier League,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47,1,Matches
951,Luca Garritano,it ITA,"MF,DF",Frosinone,it Serie A,29,1994,5.4,10,5,7,2,1,5,15,33.3,10,13,0,13,4,14,8,1,Matches
952,Yarek Gasiorowski,es ESP,DF,Valencia,es La Liga,18,2005,8.2,22,12,14,5,3,13,19,68.4,6,15,8,7,15,37,50,1,Matches
953,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,35,1988,25.1,43,22,18,21,4,23,81,28.4,58,31,9,22,36,79,24,4,Matches
954,Federico Gatti,it ITA,DF,Juventus,it Serie A,25,1998,29.3,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1,Matches
955,Federico Gattoni,ar ARG,"DF,FW",Sevilla,es La Liga,24,1999,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
956,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,18,2004,10.5,39,21,20,14,5,18,36,50.0,18,19,3,16,8,47,16,1,Matches
957,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31,1992,38.0,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,12,1,Matches
958,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,2001,13.3,14,4,6,6,2,8,23,34.8,15,21,1,20,4,18,2,0,Matches
959,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,25,1998,0.7,1,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,Matches
960,Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,22,2000,8.4,14,8,5,6,3,7,20,35.0,13,8,2,6,5,19,8,0,Matches
961,Francesco Gelli,it ITA,"MF,DF",Frosinone,it Serie A,26,1996,17.3,19,13,8,4,7,10,24,41.7,14,19,3,16,11,30,27,1,Matches
962,Luca Gemello,it ITA,GK,Torino,it Serie A,23,2000,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Matches
963,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,23,2000,33.8,55,33,35,16,4,30,46,65.2,16,40,11,29,35,90,99,0,Matches
964,Denis Genreau,au AUS,"MF,FW",Toulouse,fr Ligue 1,24,1999,5.2,12,9,6,6,0,8,15,53.3,7,8,1,7,6,18,8,0,Matches
965,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,29,1994,18.1,31,20,16,12,3,9,32,28.1,23,15,2,13,7,38,35,0,Matches
966,Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,de Bundesliga,28,1995,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
967,Farés Ghedjemis,fr FRA,"FW,MF",Frosinone,it Serie A,20,2002,2.0,2,0,1,0,1,0,2,0.0,2,2,0,2,1,3,2,0,Matches
968,Saman Ghoddos,ir IRN,DF,Brentford,eng Premier League,29,1993,8.2,28,19,19,7,2,17,31,54.8,14,9,2,7,5,33,12,0,Matches
969,Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,29,1993,7.0,9,4,7,2,0,4,5,80.0,1,10,6,4,19,28,39,0,Matches
970,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,eng Premier League,23,2000,35.1,36,24,6,20,10,14,33,42.4,19,31,8,23,17,53,21,0,Matches
971,Samuel Gigot,fr FRA,DF,Marseille,fr Ligue 1,29,1993,19.2,33,22,16,13,4,13,19,68.4,6,28,18,10,25,58,93,1,Matches
972,Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22,2001,2.3,1,0,0,0,1,1,4,25.0,3,3,0,3,3,4,4,0,Matches
973,David Gil,es ESP,GK,Cádiz,es La Liga,29,1994,4.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Matches
974,Mario Gila,es ESP,DF,Lazio,it Serie A,22,2000,20.1,32,14,23,8,1,19,34,55.9,15,27,14,13,20,52,69,0,Matches
975,Alfie Gilchrist,eng ENG,DF,Chelsea,eng Premier League,19,2003,2.3,4,0,4,0,0,2,5,40.0,3,6,3,3,3,7,11,0,Matches
976,Ryan Giles,eng ENG,"DF,MF",Luton Town,eng Premier League,23,2000,5.6,8,6,4,3,1,2,7,28.6,5,2,0,2,4,12,22,0,Matches
977,Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,22,2001,23.6,26,16,14,10,2,11,35,31.4,24,23,9,14,11,37,14,1,Matches
978,Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,26,1997,22.5,40,24,25,14,1,19,35,54.3,16,27,17,10,16,56,101,1,Matches
979,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,19,2004,6.0,11,7,3,8,0,4,7,57.1,3,10,4,6,4,15,9,1,Matches
980,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,29,1994,21.3,29,15,19,9,1,16,29,55.2,13,40,26,14,16,45,93,0,Matches
981,Olivier Giroud,fr FRA,FW,Milan,it Serie A,36,1986,26.3,17,11,6,6,5,2,14,14.3,12,14,3,11,6,23,22,0,Matches
982,Jamie Gittens,eng ENG,"FW,MF",Dortmund,de Bundesliga,18,2004,11.8,14,7,6,7,1,2,17,11.8,15,11,2,9,4,18,7,0,Matches
983,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,de Bundesliga,33,1989,15.1,44,22,18,25,1,17,30,56.7,13,26,14,12,19,63,42,2,Matches
984,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,28,1995,4.8,8,5,0,5,3,2,13,15.4,11,5,0,5,3,11,2,0,Matches
985,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,25,1998,12.4,30,20,17,8,5,15,28,53.6,13,14,8,6,16,46,57,0,Matches
986,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,29,1993,11.2,12,7,9,3,0,4,10,40.0,6,11,7,4,15,27,37,1,Matches
987,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,28,1995,7.0,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
988,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,27,1996,23.9,42,30,14,22,6,15,42,35.7,27,37,3,34,21,63,14,0,Matches
989,André Gomes,pt POR,"MF,FW",Everton,eng Premier League,30,1993,5.6,7,4,2,3,2,3,13,23.1,10,10,1,9,3,10,4,1,Matches
990,Angel Gomes,eng ENG,MF,Lille,fr Ligue 1,22,2000,28.6,26,13,4,15,7,14,32,43.8,18,23,6,17,18,44,28,1,Matches
991,João Gomes,br BRA,MF,Wolves,eng Premier League,22,2001,29.4,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2,Matches
992,Toti Gomes,pt POR,DF,Wolves,eng Premier League,24,1999,30.8,44,25,32,8,4,24,37,64.9,13,40,19,21,26,70,93,2,Matches
993,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,26,1997,19.8,47,31,24,16,7,30,63,47.6,33,26,4,22,19,66,50,2,Matches
994,Maxi Gómez,uy URU,FW,Cádiz,es La Liga,26,1996,12.9,6,4,2,3,1,3,5,60.0,2,8,3,5,3,9,3,0,Matches
995,Moi Gómez,es ESP,"MF,FW",Osasuna,es La Liga,29,1994,22.3,30,19,7,19,4,9,24,37.5,15,15,1,14,11,41,22,0,Matches
996,Papu Gómez,ar ARG,"MF,FW",Monza,it Serie A,35,1988,0.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
997,Sergio Gómez,es ESP,"FW,MF",Manchester City,eng Premier League,22,2000,0.6,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,Matches
998,Unai Gómez,es ESP,MF,Athletic Club,es La Liga,20,2003,9.7,12,10,2,6,4,5,10,50.0,5,13,2,11,2,14,9,0,Matches
