Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1612,Alberto Marí,es ESP,FW,Valencia,es La Liga,22.0,2001.0,FW,16,2,276,3.1,0,0,1,6.0,2.0,33.3,1.96,0.65,0.0,0.0,11.4,0.0,1.8,1.2,1.8,1.2,0.2,-0.8,-1.2,1,1,1,6,0.9,0.9,0.1,1,0,102,56,15,5,3,60.0,2,40.0,44,2,85,2,11,3,13,2,1,38,61,62.3,6,10.0,6.0,10.0,8.0,20.0,28.6,8.1,0.0,14.0,1.25,4.0,8.0,-4.0,-1.3,5.4,8.6,-3.2,-1.06
1787,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,es La Liga,19.0,2003.0,FW,28,21,1803,20.0,1,0,3,33.0,10.0,30.3,1.65,0.5,0.09,0.3,20.0,0.0,2.0,2.0,2.0,2.0,0.06,1.0,1.0,0,0,3,27,2.7,2.7,0.3,26,2,977,453,59,116,57,49.1,54,46.6,681,86,2389,24,60,27,184,86,67,581,735,79.0,87,17.0,18.0,67.0,1.0,16.0,5.9,52.7,9.0,7.0,1.04,23.0,28.0,-5.0,-0.25,19.3,31.3,-12.0,-0.6
949,Alejandro Garnacho,ar ARG,FW,Manchester Utd,eng Premier League,19.0,2004.0,FW,36,30,2565,28.5,4,0,7,100.0,27.0,27.0,3.51,0.95,0.07,0.26,15.8,0.0,8.4,8.3,8.4,8.3,0.08,-1.4,-1.3,0,0,4,46,5.1,2.9,-1.1,22,4,1312,741,248,131,48,36.6,63,48.1,940,178,4211,102,69,49,281,178,83,675,901,74.9,62,20.0,54.0,106.0,6.0,25.0,19.4,75.0,12.0,6.0,1.5,44.0,39.0,5.0,0.18,42.0,50.8,-8.8,-0.31
2684,Alejo Véliz,ar ARG,FW,Tottenham,eng Premier League,19.0,2003.0,FW,14,0,85,0.6,1,0,1,2.0,1.0,75.0,4.37,3.4699999999999998,0.25,0.5,8.9,0.0,0.2,0.2,0.2,0.2,0.12,0.8,0.8,0,0,0,0,0.0,0.0,0.0,0,0,18,11,4,2,1,50.0,1,50.0,8,0,9,0,2,2,3,0,0,5,10,58.35,1,0.0,1.0,0.0,1.0,2.0,54.15,1.25,0.0,8.0,1.525,3.0,2.0,1.0,-1.67,2.1,1.8,0.2,0.45
1775,Aleksandar Mitrović,rs SRB,FW,Fulham,eng Premier League,28.0,1994.0,FW,1,0,33,0.4,0,0,0,2.0,1.0,50.0,5.45,2.73,0.0,0.0,11.0,0.0,0.2,0.2,0.2,0.2,0.08,-0.2,-0.2,0,0,0,0,0.0,0.0,0.0,1,0,12,6,4,3,3,100.0,0,0.0,5,0,15,0,0,0,0,0,0,4,8,50.0,1,0.0,0.0,1.0,2.0,1.0,66.7,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.73,1.2,0.6,0.7,1.79
2829,Alessio Zerbin,it ITA,"FW,DF",Napoli,it Serie A,24.0,1999.0,FW,20,8,834,1.7,2,1,0,3.0,1.0,33.3,1.295,0.43,0.0,0.0,18.7,0.0,0.2,0.2,0.2,0.2,0.08,-0.2,-0.2,0,0,1,4,0.6,0.5,-0.6,2,2,92,54,8,4,2,45.95,1,38.3,45,6,147,2,5,3,18,6,4,56,71,78.1,3,7.0,4.0,6.0,1.0,1.0,33.35,12.2,0.0,6.0,0.9949999999999999,1.0,2.0,-1.0,-0.365,3.3,3.0,0.3,0.16
1203,Alex Iwobi,ng NGA,"FW,MF",Fulham,eng Premier League,27.0,1996.0,FW,32,27,2332,24.4,2,0,5,51.0,18.0,42.65,2.33,1.0150000000000001,0.05,0.14,18.5,0.0,5.3,5.3,5.3,5.3,0.1,-0.3,-0.3,0,0,2,49,4.7,4.0,-2.7,46,8,1282,537,81,72,37,63.2,32,34.7,866,109,2979,27,50,28,175,109,80,821,1051,71.19999999999999,147,12.0,5.0,145.0,6.0,19.0,24.0,34.099999999999994,9.0,5.0,0.635,38.0,38.0,0.0,-0.965,34.7,33.9,0.7,0.03
1191,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,23.0,1999.0,FW,30,27,2255,25.1,1,0,21,72.0,36.0,50.0,2.87,1.44,0.22,0.44,14.5,1.0,20.3,15.6,20.3,15.6,0.22,0.7,0.4,5,6,2,27,3.7,2.8,-1.7,21,0,725,387,139,74,42,56.8,28,37.8,421,68,1613,38,49,23,129,68,31,385,493,78.1,71,14.0,15.0,38.0,10.0,39.0,20.4,65.9,13.0,3.0,1.5,51.0,41.0,10.0,0.4,51.2,43.1,8.1,0.32
2541,Alexander Sørloth,no NOR,FW,Villarreal,es La Liga,27.0,1995.0,FW,34,30,2489,27.7,3,0,23,78.0,36.0,46.2,2.82,1.3,0.29,0.64,12.1,0.0,12.3,12.3,12.3,12.3,0.16,10.7,10.7,0,0,6,34,4.4,3.0,1.6,15,1,797,417,150,72,30,41.7,40,55.6,474,48,1104,29,97,61,159,48,35,357,476,75.0,40,34.0,19.0,57.0,80.0,45.0,64.0,72.8,23.0,4.0,1.41,56.0,46.0,10.0,0.36,43.1,41.3,1.8,0.06
1411,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,32.0,1991.0,FW,29,27,2293,25.5,3,1,19,60.0,33.0,55.0,2.35,1.3,0.28,0.52,14.0,6.0,11.4,9.8,11.4,9.8,0.17,7.6,7.2,2,2,2,21,1.9,2.1,0.1,17,2,809,372,127,42,22,52.4,17,40.5,576,22,910,10,55,37,144,22,20,397,561,70.8,61,50.0,36.0,60.0,27.0,40.0,40.3,74.9,12.0,2.0,1.69,38.0,42.0,-4.0,-0.16,34.6,35.4,-0.8,-0.03
