Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MainPos,MP,Starts,Min,90s,CrdY,CrdR,Gls,Sh_shooting,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_shooting,xG,npxG,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,PK,PKatt,Ast,KP,xAG,xA,A-xAG,PPA,CrsPA,Touches,Att 3rd_possession,Att Pen,Att_possession,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,PrgDist_possession,CPA,Mis,Dis,PrgR,PrgC_possession,1/3_possession,Cmp,Att_passing,Cmp%,PrgP,Fls,Fld,Recov,Won,Lost_misc,Won%,Min%,Compl,Subs,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
1439,Darko Lazović,rs SRB,"FW,MF",Hellas Verona,it Serie A,32.0,1990.0,FW,32,22,1928,21.4,0,1,3,33.0,13.0,39.4,1.54,0.61,0.06,0.15,20.7,2.0,2.8,2.0,2.8,2.0,0.06,0.2,0.0,1,1,2,31,4.4,3.5,-2.4,21,7,834,363,63,27,5,18.5,19,70.4,443,43,1210,14,22,16,139,43,21,431,671,64.2,66,5.0,5.0,67.0,8.0,15.0,34.8,56.4,1.0,10.0,0.91,21.0,28.0,-7.0,-0.33,25.1,28.8,-3.7,-0.17
1922,Darwin Núñez,uy URU,FW,Liverpool,eng Premier League,24.0,1999.0,FW,36,22,2047,22.7,9,0,11,107.0,46.0,43.0,4.7,2.02,0.1,0.24,15.0,0.0,16.3,15.5,16.3,15.5,0.15,-5.3,-4.5,0,1,8,33,6.0,4.5,2.0,26,0,777,526,192,44,15,34.1,20,45.5,468,58,1279,36,53,29,206,58,35,341,493,69.2,54,28.0,15.0,56.0,34.0,55.0,38.2,59.9,9.0,14.0,2.19,48.0,25.0,23.0,1.01,52.8,25.6,27.2,1.19
58,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21.0,2002.0,FW,6,0,57,0.6,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.4,0.0,1,0,17,10,1,5,2,40.0,3,60.0,12,3,61,1,2,0,2,3,1,8,9,88.9,1,2.0,1.0,4.0,0.0,1.0,0.0,1.7,0.0,6.0,1.33,0.0,0.0,0.0,0.0,0.3,0.4,-0.1,-0.15
389,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26.0,1997.0,FW,13,2,282,3.1,1,0,1,13.0,5.0,38.5,4.15,1.6,0.08,0.2,17.4,0.0,2.2,2.2,2.2,2.2,0.17,-1.2,-1.2,0,0,1,8,1.0,0.5,0.0,12,3,177,83,11,10,4,40.0,6,60.0,102,8,279,1,7,1,27,8,9,95,132,72.0,21,6.0,1.0,17.0,1.0,6.0,14.3,8.2,0.0,11.0,0.92,5.0,7.0,-2.0,-0.64,5.6,6.1,-0.5,-0.16
644,David Datro Fofana,ci CIV,"FW,MF",Union Berlin,de Bundesliga,20.0,2002.0,FW,27,18,1561,7.6,1,0,5,26.0,12.0,49.400000000000006,2.69,1.3,0.125,0.24000000000000002,15.6,4.0,2.8,2.8,2.8,2.8,0.11,-1.8,-1.8,0,0,1,5,0.3,0.3,-0.3,8,2,288,176,42,49,19,37.7,26,53.400000000000006,180,20,523,13,31,26,66,20,16,106,152,68.65,14,8.0,12.0,25.0,10.0,17.0,32.65,24.0,1.0,4.0,0.78,6.0,16.0,-10.0,-1.07,9.9,10.8,-0.9,-0.12
1588,David Mamutovic,de GER,"FW,DF",Mainz 05,de Bundesliga,22.0,2000.0,FW,2,0,11,0.1,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,12,3,0,0,0,,0,,7,0,5,0,0,0,0,0,0,7,10,70.0,0,0.0,2.0,2.0,0.0,1.0,0.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.69
1951,David Okereke,ng NGA,"FW,MF",Torino,it Serie A,25.0,1997.0,FW,9,3,252,2.8,0,0,0,8.0,5.0,62.5,2.86,1.79,0.0,0.0,19.8,0.0,0.2,0.2,0.2,0.2,0.03,-0.2,-0.2,0,0,0,2,0.1,0.3,-0.1,1,1,122,68,12,6,1,16.7,3,50.0,77,8,225,7,8,3,23,8,1,72,92,78.3,7,2.0,3.0,9.0,7.0,9.0,43.8,7.4,0.0,6.0,1.33,4.0,1.0,3.0,1.07,2.7,1.8,0.9,0.32
2403,Davie Selke,de GER,FW,Köln,de Bundesliga,28.0,1995.0,FW,19,16,1265,14.1,3,0,6,33.0,11.0,33.3,2.35,0.78,0.18,0.55,11.1,0.0,4.8,4.8,4.8,4.8,0.14,1.2,1.2,0,0,0,11,0.4,0.3,-0.4,4,0,341,140,63,12,6,50.0,6,50.0,171,9,232,5,20,12,46,9,3,144,234,61.5,17,24.0,18.0,9.0,67.0,55.0,54.9,41.3,5.0,3.0,0.74,9.0,24.0,-15.0,-1.07,15.7,30.5,-14.8,-1.05
1380,Dawid Kownacki,pl POL,FW,Werder Bremen,de Bundesliga,26.0,1997.0,FW,22,3,380,4.2,0,0,0,19.0,4.0,21.1,4.5,0.95,0.0,0.0,16.2,0.0,1.3,1.3,1.3,1.3,0.07,-1.3,-1.3,0,0,0,5,0.4,0.6,-0.4,1,0,159,83,31,3,2,66.7,1,33.3,77,5,88,3,18,5,26,5,1,69,109,63.3,10,9.0,9.0,8.0,29.0,29.0,50.0,12.4,0.0,19.0,0.95,9.0,9.0,0.0,0.0,9.1,8.8,0.3,0.07
1397,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,eng Premier League,23.0,2000.0,FW,36,31,2762,30.7,7,0,8,57.0,23.0,40.4,1.86,0.75,0.14,0.35,15.7,0.0,4.7,4.7,4.7,4.7,0.08,3.3,3.3,0,0,3,66,7.7,6.7,-4.7,73,19,1623,984,226,129,54,41.9,66,51.2,1169,151,3856,82,86,65,388,151,61,953,1234,77.2,144,54.0,29.0,133.0,7.0,15.0,31.8,80.8,21.0,5.0,1.72,57.0,46.0,11.0,0.36,55.0,48.7,6.3,0.2
2658,Deniz Undav,de GER,"FW,MF",Stuttgart,de Bundesliga,27.0,1996.0,FW,30,23,2089,23.2,5,0,18,106.0,51.0,48.1,4.57,2.2,0.17,0.35,17.4,0.0,15.0,14.3,15.0,14.3,0.13,3.0,3.7,0,1,10,39,6.5,6.1,3.5,44,2,1089,537,147,50,27,54.0,20,40.0,674,45,1459,20,58,51,182,45,36,595,799,74.5,120,29.0,27.0,71.0,17.0,33.0,34.0,68.3,8.0,7.0,2.2,53.0,27.0,26.0,1.12,50.2,28.5,21.8,0.94
1423,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26.0,1996.0,FW,9,7,550,6.1,1,0,1,11.0,3.0,27.3,1.8,0.49,0.09,0.33,16.4,0.0,1.6,1.6,1.6,1.6,0.14,-0.6,-0.6,0,0,0,6,0.9,0.2,-0.9,3,0,262,89,15,17,6,35.3,11,64.7,192,15,542,4,11,7,23,15,19,137,190,72.1,19,14.0,11.0,26.0,13.0,21.0,38.2,18.0,2.0,2.0,0.78,7.0,11.0,-4.0,-0.65,8.8,10.9,-2.1,-0.35
1799,Diego Moreira,be BEL,"FW,MF",Lyon,fr Ligue 1,18.0,2004.0,FW,7,4,270,3.0,1,0,0,5.0,2.0,40.0,1.67,0.67,0.0,0.0,11.3,0.0,0.7,0.7,0.7,0.7,0.14,-0.7,-0.7,0,0,0,3,0.3,0.2,-0.3,3,0,148,51,9,9,2,22.2,7,77.8,120,10,355,3,13,6,23,10,5,74,108,68.5,12,4.0,3.0,17.0,5.0,8.0,38.5,8.8,0.0,3.0,0.57,2.0,6.0,-4.0,-1.33,2.8,5.9,-3.1,-1.05
192,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,20.0,2002.0,FW,31,25,2177,24.2,4,1,3,44.0,12.0,27.3,1.82,0.5,0.07,0.25,19.6,4.0,3.2,3.2,3.2,3.2,0.07,-0.2,-0.2,0,0,6,49,6.3,4.6,-0.3,36,10,1158,577,75,121,52,43.0,62,51.2,807,95,2906,25,49,38,204,95,76,587,862,68.1,92,32.0,75.0,114.0,12.0,22.0,35.3,71.1,10.0,6.0,1.16,24.0,34.0,-10.0,-0.41,28.3,30.3,-1.9,-0.08
1250,Diogo Jota,pt POR,FW,Liverpool,eng Premier League,26.0,1996.0,FW,21,14,1145,12.7,3,1,10,41.0,19.0,46.3,3.22,1.49,0.24,0.53,12.3,0.0,5.3,5.3,5.3,5.3,0.13,4.7,4.7,0,0,3,22,3.3,1.7,-0.3,12,0,594,311,107,41,15,36.6,21,51.2,350,54,1239,23,42,18,111,54,29,287,394,72.8,34,27.0,21.0,48.0,17.0,38.0,30.9,33.5,3.0,7.0,2.29,34.0,10.0,24.0,1.89,28.5,14.0,14.5,1.14
771,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21.0,2002.0,FW,26,3,581,6.5,2,0,2,19.0,7.0,36.8,2.94,1.08,0.11,0.29,13.4,0.0,3.0,3.0,3.0,3.0,0.16,-1.0,-1.0,0,0,0,8,0.5,0.8,-0.5,8,1,240,126,38,24,11,45.8,10,41.7,132,16,399,6,24,5,35,16,13,115,160,71.9,20,9.0,7.0,12.0,18.0,15.0,54.5,19.0,1.0,23.0,1.12,10.0,14.0,-4.0,-0.62,9.7,13.5,-3.8,-0.58
1818,Divin Mubama,eng ENG,FW,West Ham,eng Premier League,18.0,2004.0,FW,5,0,80,0.9,0,0,0,1.0,0.0,0.0,1.13,0.0,0.0,,12.5,0.0,0.1,0.1,0.1,0.1,0.15,-0.1,-0.1,0,0,0,0,0.0,0.0,0.0,0,0,32,9,1,0,0,,0,,18,0,12,0,6,0,5,0,1,16,22,72.7,0,1.0,1.0,4.0,4.0,5.0,44.4,2.3,0.0,5.0,1.6,2.0,2.0,0.0,0.0,1.3,2.6,-1.3,-1.46
1986,Divock Origi,be BEL,FW,Nott'ham Forest,eng Premier League,28.0,1995.0,FW,20,6,606,6.7,1,0,0,14.0,2.0,14.3,2.08,0.3,0.0,0.0,19.7,0.0,1.4,1.4,1.4,1.4,0.1,-1.4,-1.4,0,0,1,7,2.1,0.8,-1.1,5,1,225,105,26,24,9,37.5,12,50.0,144,19,409,9,16,10,41,19,9,92,144,63.9,14,14.0,8.0,16.0,11.0,17.0,39.3,17.7,0.0,14.0,0.6,4.0,6.0,-2.0,-0.3,9.6,9.4,0.1,0.02
1534,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25.0,1997.0,FW,23,12,1125,12.5,0,0,5,42.0,17.0,40.5,3.36,1.36,0.12,0.29,14.4,1.0,5.6,5.6,5.6,5.6,0.13,-0.6,-0.6,0,0,1,13,0.7,1.1,0.3,10,4,520,298,67,62,30,48.4,26,41.9,369,48,1336,24,44,19,116,48,31,269,351,76.6,26,24.0,22.0,33.0,12.0,13.0,48.0,32.9,3.0,11.0,1.17,18.0,20.0,-2.0,-0.16,17.2,18.4,-1.2,-0.1
283,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28.0,1994.0,FW,17,17,1431,15.9,6,0,9,46.0,19.0,41.3,2.89,1.19,0.09,0.21,23.3,2.0,6.5,2.6,6.5,2.6,0.06,2.5,1.4,5,5,3,27,3.0,2.5,0.0,29,6,829,430,63,28,11,39.3,14,50.0,496,38,1220,14,31,24,123,38,26,409,641,63.8,83,28.0,28.0,57.0,9.0,18.0,33.3,41.8,10.0,0.0,1.12,24.0,27.0,-3.0,-0.19,21.0,23.7,-2.7,-0.17
78,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23.0,2000.0,FW,18,12,965,10.7,0,0,2,10.0,4.0,40.0,0.93,0.37,0.2,0.5,19.3,0.0,0.6,0.6,0.6,0.6,0.06,1.4,1.4,0,0,1,13,1.2,0.9,-0.2,10,0,514,203,16,29,13,44.8,12,41.4,292,24,861,6,20,17,33,24,27,315,399,78.9,50,12.0,20.0,43.0,4.0,15.0,21.1,28.2,2.0,6.0,1.0,15.0,11.0,4.0,0.37,13.9,12.5,1.4,0.13
429,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,26.0,1997.0,FW,32,26,2171,24.1,2,0,7,71.0,28.0,39.4,2.94,1.16,0.07,0.18,13.9,1.0,12.9,11.4,12.9,11.4,0.16,-5.9,-6.4,2,2,2,19,3.1,1.6,-1.1,12,0,738,399,124,43,14,32.6,26,60.5,357,36,794,22,65,25,122,36,21,248,440,56.4,31,31.0,32.0,46.0,137.0,144.0,48.8,63.5,4.0,6.0,1.28,26.0,27.0,-1.0,-0.04,32.4,31.2,1.3,0.05
2304,Dominic Sadi,eng ENG,FW,Bournemouth,eng Premier League,19.0,2003.0,FW,1,0,1,0.0,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0,0,0,,0,,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2468,Dominic Solanke,eng ENG,FW,Bournemouth,eng Premier League,25.0,1997.0,FW,38,37,3325,36.9,3,0,19,106.0,35.0,33.0,2.87,0.95,0.16,0.49,12.2,0.0,19.6,17.2,19.6,17.2,0.16,-0.6,-0.2,2,3,3,39,3.0,2.0,0.0,24,3,1069,547,216,106,39,36.8,60,56.6,599,52,1420,27,136,81,184,52,24,400,544,73.5,60,42.0,45.0,97.0,97.0,135.0,41.8,97.2,28.0,1.0,1.26,51.0,61.0,-10.0,-0.27,52.6,55.1,-2.5,-0.07
1583,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24.0,1999.0,FW,27,21,1781,19.8,5,0,13,72.0,36.0,50.0,3.64,1.82,0.18,0.36,16.5,2.0,9.5,9.5,9.5,9.5,0.14,3.5,3.5,0,0,1,22,3.0,3.4,-2.0,36,6,799,475,118,95,42,44.2,40,42.1,559,73,1957,45,51,39,163,73,49,410,546,75.1,57,11.0,24.0,71.0,7.0,19.0,26.9,58.2,10.0,6.0,2.0,43.0,25.0,18.0,0.91,40.5,29.0,11.6,0.58
2817,Duván Zapata,co COL,FW,Torino,it Serie A,32.0,1991.0,FW,37,36,2992,32.0,2,0,13,99.0,38.0,39.2,3.5549999999999997,1.4,0.16,0.41000000000000003,13.3,0.0,10.9,10.9,10.9,10.9,0.11,1.1,1.1,0,0,4,27,3.0,1.5,1.0,13,0,1218,642,196,111,36,49.55,62,44.599999999999994,769,74,1845,27,119,58,242,74,54,492,752,68.7,52,53.0,67.0,85.0,129.0,115.0,51.45,43.75,21.0,1.0,1.495,31.0,26.0,5.0,-0.32,33.4,27.2,6.2,0.19
2725,Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,23.0,2000.0,FW,33,27,2307,25.6,8,1,16,106.0,35.0,33.0,4.14,1.37,0.13,0.4,15.8,7.0,16.6,13.3,16.6,13.3,0.13,-0.6,0.7,2,4,4,29,2.3,1.6,1.7,14,1,833,410,152,43,18,41.9,23,53.5,473,36,840,20,71,42,174,36,19,380,542,70.1,46,31.0,34.0,60.0,37.0,53.0,41.1,67.5,8.0,6.0,2.0,35.0,23.0,12.0,0.47,36.4,21.9,14.5,0.57
2067,Dženan Pejčinović,de GER,FW,Wolfsburg,de Bundesliga,18.0,2005.0,FW,4,0,37,0.4,1,0,0,2.0,0.0,0.0,4.86,0.0,0.0,,13.8,0.0,0.1,0.1,0.1,0.1,0.06,-0.1,-0.1,0,0,0,2,0.1,0.0,-0.1,0,0,16,9,4,0,0,,0,,8,1,19,0,1,0,2,1,0,6,10,60.0,0,2.0,0.0,2.0,1.0,2.0,33.3,1.2,0.0,4.0,0.75,0.0,0.0,0.0,0.0,1.1,0.1,1.0,2.39
1904,Eddie Nketiah,eng ENG,FW,Arsenal,eng Premier League,24.0,1999.0,FW,27,10,1082,12.0,3,0,5,38.0,12.0,31.6,3.16,1.0,0.13,0.42,12.7,0.0,4.5,4.5,4.5,4.5,0.12,0.5,0.5,0,0,2,9,0.8,0.7,1.2,5,0,371,207,75,30,8,26.7,15,50.0,236,22,497,11,38,18,77,22,12,168,215,78.1,20,24.0,28.0,24.0,23.0,27.0,46.0,31.6,3.0,17.0,2.15,24.0,10.0,14.0,1.16,22.3,10.3,12.1,1.0
2834,Edon Zhegrova,xk KVX,FW,Lille,fr Ligue 1,24.0,1999.0,FW,33,25,2288,25.4,3,1,6,82.0,29.0,35.4,3.23,1.14,0.07,0.21,20.3,8.0,6.2,6.2,6.2,6.2,0.08,-0.2,-0.2,0,0,6,46,6.2,7.8,-0.2,53,13,1387,842,115,174,90,51.7,76,43.7,1013,110,3825,54,55,50,322,110,78,764,1043,73.3,90,23.0,31.0,101.0,6.0,11.0,35.3,74.8,6.0,8.0,1.76,39.0,20.0,19.0,0.75,34.9,24.9,10.0,0.39
306,El Bilal Touré,ml MLI,FW,Atalanta,it Serie A,21.0,2001.0,FW,11,3,394,4.4,2,0,2,12.0,4.0,33.3,2.74,0.91,0.17,0.5,15.2,0.0,1.2,1.2,1.2,1.2,0.1,0.8,0.8,0,0,0,7,0.8,0.6,-0.8,5,0,179,117,21,14,3,21.4,9,64.3,128,16,417,2,18,16,39,16,15,92,126,73.0,11,13.0,8.0,8.0,14.0,14.0,50.0,11.5,2.0,8.0,2.18,6.0,3.0,3.0,0.69,8.7,4.7,3.9,0.9
2420,Eldor Shomurodov,uz UZB,"FW,MF",Cagliari,it Serie A,28.0,1995.0,FW,22,10,936,10.4,1,0,3,21.0,7.0,33.3,2.02,0.67,0.14,0.43,11.9,0.0,3.5,3.5,3.5,3.5,0.19,-0.5,-0.5,0,0,3,10,1.7,1.1,1.3,5,2,364,174,46,28,10,35.7,16,57.1,191,12,348,7,47,19,52,12,13,153,230,66.5,18,11.0,11.0,38.0,21.0,44.0,32.3,27.4,0.0,12.0,1.0,12.0,23.0,-11.0,-1.06,13.0,16.0,-3.0,-0.29
1259,Eli Junior Kroupi,fr FRA,"FW,MF",Lorient,fr Ligue 1,17.0,2006.0,FW,30,11,1084,12.0,1,0,5,22.0,12.0,54.5,1.83,1.0,0.23,0.42,13.7,0.0,3.5,3.5,3.5,3.5,0.16,1.5,1.5,0,0,3,11,1.8,1.1,1.2,7,2,377,174,51,20,12,60.0,6,30.0,263,10,428,5,24,10,63,10,13,216,279,77.4,12,16.0,8.0,35.0,8.0,21.0,27.6,35.4,0.0,19.0,0.63,16.0,25.0,-9.0,-0.75,12.6,18.8,-6.2,-0.52
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25.0,1998.0,FW,27,16,1419,15.8,1,0,10,31.0,14.0,45.2,1.97,0.89,0.32,0.71,9.6,0.0,5.9,5.9,5.9,5.9,0.19,4.1,4.1,0,0,0,14,0.7,0.4,-0.7,4,0,462,243,82,67,18,26.9,46,68.7,265,16,425,13,62,34,110,16,15,144,204,70.6,23,27.0,16.0,34.0,43.0,43.0,50.0,41.5,5.0,11.0,0.78,30.0,36.0,-6.0,-0.38,22.2,28.4,-6.3,-0.4
2735,Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,20.0,2003.0,FW,28,20,1706,0.2,10,1,9,0.0,0.0,50.8,1.57,0.8,0.14,0.27,13.3,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1,1,3,1,0.6,0.1,-0.6,0,0,10,6,1,1,1,69.3,0,22.75,8,1,17,1,3,0,2,1,1,6,6,86.25,1,0.0,1.0,1.0,1.0,0.0,64.45,27.9,0.0,1.0,1.26,0.0,1.0,-1.0,-3.03,0.6,0.2,0.4,2.56
1499,Elysée Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19.0,2004.0,FW,10,2,248,2.8,0,0,0,4.0,0.0,0.0,1.45,0.0,0.0,,13.1,0.0,0.3,0.3,0.3,0.3,0.08,-0.3,-0.3,0,0,0,3,0.1,0.2,-0.1,0,0,79,35,12,5,4,80.0,1,20.0,55,1,57,1,16,7,7,1,0,31,40,77.5,2,12.0,0.0,11.0,4.0,9.0,30.8,8.1,0.0,8.0,1.2,2.0,0.0,2.0,0.73,2.9,4.8,-1.9,-0.68
815,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,20.0,2003.0,FW,28,23,2078,23.1,3,0,8,47.0,20.0,42.6,2.04,0.87,0.17,0.4,12.0,0.0,10.9,10.1,10.9,10.1,0.21,-2.9,-2.1,0,1,1,9,0.4,0.4,0.6,2,0,505,232,88,34,10,29.4,22,64.7,353,24,598,13,46,29,115,24,19,216,295,73.2,11,26.0,24.0,41.0,33.0,66.0,33.3,67.9,8.0,5.0,1.21,27.0,32.0,-5.0,-0.22,26.8,29.3,-2.6,-0.11
495,Emil Ceide,no NOR,"FW,MF",Sassuolo,it Serie A,21.0,2001.0,FW,11,0,176,2.0,0,0,0,2.0,0.0,0.0,1.02,0.0,0.0,,20.3,0.0,0.1,0.1,0.1,0.1,0.05,-0.1,-0.1,0,0,0,4,0.2,0.2,-0.2,2,0,85,45,9,21,13,61.9,7,33.3,55,12,319,5,4,5,16,12,6,40,59,67.8,3,2.0,1.0,7.0,0.0,3.0,0.0,5.1,0.0,11.0,0.55,0.0,8.0,-8.0,-4.09,1.2,5.1,-3.9,-2.01
803,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21.0,2002.0,FW,1,0,5,0.1,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0,4,1,1,3,0,0.0,2,66.7,4,0,1,0,0,0,1,0,0,1,1,100.0,0,0.0,1.0,0.0,0.0,0.0,,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.71
2300,Emmanuel Sabbi,us USA,"FW,MF",Le Havre,fr Ligue 1,25.0,1997.0,FW,30,18,1584,17.6,5,0,5,29.0,10.0,34.5,1.65,0.57,0.1,0.3,16.4,0.0,4.1,2.5,4.1,2.5,0.09,0.9,0.5,2,2,1,10,1.4,1.1,-0.4,9,3,630,272,61,60,20,33.3,37,61.7,438,38,1057,16,44,22,101,38,16,258,368,70.1,36,26.0,37.0,69.0,12.0,33.0,26.7,51.8,2.0,12.0,0.93,19.0,21.0,-2.0,-0.11,21.2,25.1,-4.0,-0.23
2657,Enes Ünal,tr TUR,"FW,MF",Getafe,es La Liga,26.0,1997.0,FW,19,3,468,1.6,1,0,2,1.0,0.0,17.4,3.4749999999999996,1.1,0.045,0.25,18.5,0.0,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,0,0,3,3,0.4,0.4,0.6,0,0,49,25,6,4,2,34.1,1,48.85,31,2,78,0,2,1,7,2,2,24,35,70.94999999999999,1,5.0,5.0,5.0,3.0,13.0,30.450000000000003,6.85,1.0,2.0,1.155,2.0,3.0,-1.0,-0.044999999999999984,1.6,2.1,-0.5,-0.33
719,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,21.0,2001.0,FW,33,33,2650,29.4,8,0,10,49.0,21.0,42.9,1.66,0.71,0.2,0.48,19.7,0.0,4.3,4.3,4.3,4.3,0.09,5.7,5.7,0,0,5,36,3.7,3.7,1.3,33,15,1187,468,76,95,41,43.2,46,48.4,675,85,2416,22,98,46,143,85,59,508,819,62.0,89,28.0,22.0,155.0,11.0,24.0,31.4,86.6,7.0,0.0,1.27,43.0,45.0,-2.0,-0.07,32.8,48.1,-15.3,-0.52
348,Erik Botheim,no NOR,"FW,MF",Salernitana,it Serie A,23.0,2000.0,FW,7,4,316,3.5,1,0,0,1.0,0.0,0.0,0.28,0.0,0.0,,15.8,0.0,0.1,0.1,0.1,0.1,0.11,-0.1,-0.1,0,0,0,0,0.0,0.1,0.0,1,0,86,27,7,4,1,25.0,2,50.0,47,3,52,2,3,0,9,3,1,48,65,73.8,5,2.0,11.0,7.0,2.0,17.0,10.5,9.2,0.0,3.0,0.43,2.0,7.0,-5.0,-1.42,1.9,4.5,-2.6,-0.75
1080,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,23.0,2000.0,FW,31,29,2552,28.4,1,0,27,113.0,50.0,44.2,3.99,1.76,0.18,0.4,11.9,1.0,29.2,22.9,29.2,22.9,0.2,-2.2,-2.9,7,8,5,29,4.3,2.2,0.7,11,0,636,398,183,30,12,40.0,16,53.3,357,35,728,22,41,19,126,35,13,295,388,76.0,26,18.0,31.0,47.0,39.0,42.0,48.1,74.6,20.0,2.0,2.32,65.0,25.0,40.0,1.41,59.5,26.2,33.4,1.18
672,Ermedin Demirović,ba BIH,"FW,MF",Augsburg,de Bundesliga,25.0,1998.0,FW,33,33,2873,31.9,7,0,15,77.0,32.0,41.6,2.41,1.0,0.16,0.38,14.0,0.0,13.5,10.3,13.5,10.3,0.13,1.5,1.7,3,4,9,33,3.9,3.7,5.1,17,1,937,468,164,65,29,44.6,31,47.7,482,28,890,11,77,39,167,28,20,371,574,64.6,60,60.0,35.0,107.0,51.0,89.0,36.4,93.9,23.0,0.0,1.15,47.0,56.0,-9.0,-0.28,42.9,52.3,-9.4,-0.29
1917,Ernest Nuamah,gh GHA,"FW,MF",Lyon,fr Ligue 1,19.0,2003.0,FW,29,21,1838,20.4,4,0,3,43.0,20.0,46.5,2.11,0.98,0.07,0.15,18.0,3.0,4.0,4.0,4.0,4.0,0.09,-1.0,-1.0,0,0,2,29,3.8,5.2,-1.8,31,5,983,561,108,122,51,41.8,63,51.6,753,105,2990,38,68,31,237,105,66,535,692,77.3,74,50.0,34.0,86.0,10.0,25.0,28.6,60.1,2.0,8.0,1.69,28.0,32.0,-4.0,-0.2,31.6,33.1,-1.5,-0.07
1925,Ethan Nwaneri,eng ENG,FW,Arsenal,eng Premier League,16.0,2007.0,FW,1,0,14,0.2,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,1,0.0,0.0,0.0,2,0,20,11,2,1,0,0.0,0,0.0,16,2,66,0,0,0,1,2,2,15,18,83.3,2,1.0,1.0,0.0,1.0,0.0,100.0,0.4,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-0.69
2761,Ethan Wheatley,eng ENG,FW,Manchester Utd,eng Premier League,17.0,2006.0,FW,3,0,16,0.2,0,0,0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,6,3,0,0,0,,0,,3,0,0,0,1,2,1,0,0,0,0,,0,3.0,0.0,1.0,0.0,0.0,,0.5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.1,0.3,-0.2,-1.29
858,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18.0,2004.0,FW,27,15,1367,15.2,1,0,6,33.0,20.0,60.6,2.17,1.32,0.18,0.3,15.5,0.0,4.6,4.6,4.6,4.6,0.14,1.4,1.4,0,0,0,6,0.5,0.8,-0.5,4,0,448,185,45,16,7,43.8,6,37.5,286,13,414,5,40,31,62,13,9,244,303,80.5,15,24.0,25.0,25.0,13.0,18.0,41.9,40.0,4.0,12.0,1.48,24.0,28.0,-4.0,-0.26,21.5,21.1,0.4,0.02
